FULL_NAME,SSAN,AGE,GRADE,DEROS,ASSIGNED_PAS,HOME_ZIP_CODE,SUPV_NAME,DUTY_TITLE,DUTY_START_DATE,DAFSC,CAFSC,PAFSC,OFFICE_SYMBOL,DOR,DATE_ARRIVED_STATION,DUTY_PHONE,TAFMSD,DOE,DOS,ETS,HOME_ADDRESS,HOME_CITY,HOME_STATE,DATE_OF_BIRTH,PROJ_EVAL_CLOSE_DATE,MARITAL_STATUS,RNLTD,GAINING_PAS,LAST_EVAL_CLOSE_DATE,SUPV_BEGIN_DATE,HOME_PHONE_NUMBER
Lexi Jeffels,675-03-7956,24,SMS,1/8/22,OP1CFR72,20442,Olivie Segebrecht,Technical Writer,6/6/18,-3D172,,,SCXP,8/2/11,6/30/13,202-258-5309,2/24/10,7/12/18,1/24/22,10/4/19,50208 Manitowish Trail,Washington,District of Columbia,12/7/79,,S,,,,11/19/17,816-756-9418
Merralee Prettjohn,162-18-9686,12,CMS,5/9/20,OP1CF333,89505,Nolie Borham,Tax Accountant,9/6/18,-1N371H,,,DOA-F,12/27/09,5/10/16,775-845-4337,1/15/14,12/25/17,10/27/21,5/13/24,1 Holmberg Parkway,Reno,Nevada,8/20/51,,M,,,,12/7/10,202-286-8099
Rebecca Lalley,342-52-8855,35,TSG,,OP1CFS14,90071,Silvan Winsiowiecki,Sales Representative,5/14/18,-2T25,,,DOOE,6/24/10,11/7/14,213-166-7169,2/25/15,11/1/18,7/30/20,10/25/25,22957 Eggendart Court,Los Angeles,California,8/15/58,,S,,,,10/25/08,916-398-8182
Peter Tinman,450-13-4938,26,MSG,,OP1CFR72,93291,Rhianna Appleton,VP Marketing,10/22/18,-3D172,,,SCOO,9/25/09,12/4/17,209-251-2004,12/12/06,4/7/18,10/7/23,3/26/23,477 School Court,Visalia,California,2/19/73,,S,,,,1/11/07,626-586-8177
Cleveland Roden,627-08-5198,3,SRA,6/14/22,OP1CF333,53790,Ysabel Montier,Analog Circuit Design manager,11/21/16,-3D131,,,CCE,9/12/12,8/11/14,608-686-6919,6/19/09,2/5/18,8/9/24,10/28/23,7828 Bartillon Court,Madison,Wisconsin,7/17/72,,S,,,,10/7/16,518-532-9964
Darbee Jills,412-35-1829,7,SSG,2/8/20,OP1CFT2N,47937,Glenna Hinkensen,Budget/Accounting Analyst III,12/30/16,-1N131A,,,SGPF,10/25/14,4/19/14,765-184-3230,10/4/13,3/14/18,6/30/23,2/22/23,9499 Golf Road,Crawfordsville,Indiana,3/2/55,,S,,,,11/27/12,763-923-2917
Leonanie Lorenzetto,677-47-1805,2,AMN,,OP1CFNY2,95894,Lucho Berrington,Programmer III,9/8/17,-1N131A,,,CCE,2/3/13,8/23/15,916-755-8114,1/6/12,10/7/18,2/21/22,8/17/19,7 Upham Lane,Sacramento,California,12/19/89,,S,,,,7/30/18,321-744-8278
Tarrance Meaden,195-59-4512,14,CMS,12/12/19,OP1CFS14,25770,Georgeanna Blair,Occupational Therapist,11/19/16,-1N271A,,,SCOK,8/30/09,6/16/16,304-656-5108,8/19/13,11/27/18,5/5/20,6/17/24,7 Transport Way,Huntington,West Virginia,4/16/53,,M,,,,12/2/07,316-151-5260
Uriel Smalles,220-80-9413,18,CMS,6/2/20,OP1CFR72,46247,Kipp Yellowlee,Financial Analyst,4/24/16,-3D072,,,DOOE,7/17/12,3/5/14,317-846-8145,9/22/09,7/16/18,8/1/22,11/11/24,2204 Sycamore Alley,Indianapolis,Indiana,4/13/55,,S,12/19/19,,,3/21/09,202-390-5267
Georgina Mungan,703-27-2733,3,SMS,,OP1CF333,29505,Trista Oakly,Senior Quality Engineer,1/16/17,-3D153,,,SCOI,9/14/07,9/8/13,843-749-5851,7/12/98,12/8/17,3/8/24,2/9/25,09750 Fuller Circle,Florence,South Carolina,11/10/69,,M,7/1/20,,,7/2/10,205-754-8420
